place,product,date,own_price,amount,competitors_mean_price,cost,hot,rain,snow,month_name,day_of_week_name,profit
Анор Лондо,Целебные травы,2216-01-02,3.9,43.099110342580325,4.21,2.07,1,0,0,January,Tuesday,78.87137192692198
Анор Лондо,Целебные травы,2216-01-03,3.8999999999999995,51.88385215577647,4.05,2.07,1,0,0,January,Wednesday,94.9474494450709
Анор Лондо,Целебные травы,2216-01-04,3.9000000000000004,41.252213594063576,3.98,2.07,0,0,0,January,Thursday,75.49155087713638
Анор Лондо,Целебные травы,2216-01-05,3.9,40.69956129289602,3.9,2.07,0,0,0,January,Friday,74.48019716599973
Анор Лондо,Целебные травы,2216-01-06,3.9000000000000004,53.61964319009763,3.98,2.07,0,0,1,January,Saturday,98.12394703787866
Анор Лондо,Целебные травы,2216-01-07,3.9,50.12990135148955,4.18,2.07,1,0,0,January,Sunday,91.73771947322588
Анор Лондо,Целебные травы,2216-01-08,3.9,45.87206153587478,4.18,2.07,0,1,0,January,Monday,83.94587261065084
Анор Лондо,Целебные травы,2216-01-09,3.9,47.45130367513819,4.0,2.07,1,0,0,January,Tuesday,86.8358857255029
Анор Лондо,Целебные травы,2216-01-10,3.9000000000000004,60.22952200730718,4.0,2.07,1,0,0,January,Wednesday,110.22002527337219
Анор Лондо,Целебные травы,2216-01-11,3.9,36.67944185931967,3.98,2.07,0,0,0,January,Thursday,67.12337860255501
Анор Лондо,Целебные травы,2216-01-12,3.9,26.67831221035418,4.06,2.07,0,0,0,January,Friday,48.82131134494816
Анор Лондо,Целебные травы,2216-01-13,3.9,45.8218189795661,3.78,2.07,1,0,0,January,Saturday,83.85392873260597
Анор Лондо,Целебные травы,2216-01-14,3.9,36.503980279809056,4.18,2.07,0,0,0,January,Sunday,66.80228391205057
Анор Лондо,Целебные травы,2216-01-15,3.9,48.97295559062107,4.2,2.07,0,0,1,January,Monday,89.62050873083656
Анор Лондо,Целебные травы,2216-01-16,3.9,51.29283206849326,4.21,2.07,0,1,0,January,Tuesday,93.86588268534268
Анор Лондо,Целебные травы,2216-01-17,3.9,39.31937314356393,4.1,2.07,0,0,0,January,Wednesday,71.954452852722
Анор Лондо,Целебные травы,2216-01-18,3.9,49.62479889580979,4.14,2.07,0,0,1,January,Thursday,90.81338197933192
Анор Лондо,Целебные травы,2216-01-19,4.272881355932204,50.822530430164505,3.75,2.07,0,0,1,January,Friday,111.95600474590647
Анор Лондо,Целебные травы,2216-01-20,4.263636363636364,33.303750707205936,4.2,2.07,0,0,0,January,Saturday,73.0563185968072
Анор Лондо,Целебные травы,2216-01-21,4.288405797101449,53.56525892554137,4.14,2.07,1,0,0,January,Sunday,118.82948092366112
Анор Лондо,Целебные травы,2216-01-22,4.293103448275862,43.35041774005714,4.14,2.07,0,0,0,January,Monday,96.37246316212014
Анор Лондо,Целебные травы,2216-01-23,4.254838709677419,44.259972567256355,4.14,2.07,0,0,0,January,Tuesday,96.70090135420236
Анор Лондо,Целебные травы,2216-01-24,4.291836734693877,42.21404158889996,4.13,2.07,1,0,0,January,Wednesday,93.79270832211303
Анор Лондо,Целебные травы,2216-01-25,4.264912280701754,51.074681323561734,4.1,2.07,0,0,1,January,Thursday,112.10444527001418
Анор Лондо,Целебные травы,2216-01-26,4.278181818181818,48.4015516154196,4.07,3.07,0,1,0,January,Friday,58.47787463353879
Анор Лондо,Целебные травы,2216-01-27,4.266666666666667,51.71703046775872,4.12,3.07,0,0,1,January,Saturday,61.88804645975125
Анор Лондо,Целебные травы,2216-01-28,4.266666666666667,46.211628927477676,4.14,3.07,0,1,0,January,Sunday,55.29991594988164
Анор Лондо,Целебные травы,2216-01-29,4.266666666666667,37.88406330966255,4.0,3.07,0,0,0,January,Monday,45.33459576056285
Анор Лондо,Целебные травы,2216-01-30,4.21111111111111,29.452904005919876,4.06,3.07,0,0,0,January,Tuesday,33.60903601564411
Анор Лондо,Целебные травы,2216-01-31,4.275510204081633,42.178780817475634,4.18,3.07,0,1,0,January,Wednesday,50.846950671189546
Анор Лондо,Целебные травы,2216-02-01,4.285454545454545,42.43371875210908,4.06,3.07,0,0,0,February,Thursday,51.57625633779074
Анор Лондо,Целебные травы,2216-02-02,4.278947368421052,47.424312487504565,4.08,3.07,0,1,0,February,Friday,57.33349778094632
Анор Лондо,Целебные травы,2216-02-03,4.288888888888889,31.452261524475936,4.07,3.07,0,0,0,February,Saturday,38.33681210261122
Анор Лондо,Целебные травы,2216-02-04,4.270731707317073,37.17576620821426,4.12,3.07,0,0,0,February,Sunday,44.638121230009475
Анор Лондо,Целебные травы,2216-02-05,4.282222222222222,39.74783307131854,4.21,3.07,0,0,0,February,Monday,48.18320653423169
Анор Лондо,Целебные травы,2216-02-06,4.2875,29.603534287741986,4.12,3.07,0,0,0,February,Tuesday,36.042302995325855
Анор Лондо,Целебные травы,2216-02-07,4.564102564102564,30.276800099837573,4.0,3.07,0,0,0,February,Wednesday,45.236644661988066
Анор Лондо,Целебные травы,2216-02-08,4.5125,28.25854441617734,4.11,3.07,0,0,0,February,Thursday,40.76295032033582
Анор Лондо,Целебные травы,2216-02-09,4.561111111111111,32.45844203071765,4.18,3.07,0,0,0,February,Friday,48.39914356135898
Анор Лондо,Целебные травы,2216-02-10,4.5377777777777775,38.46425643857582,4.18,3.07,1,0,0,February,Saturday,56.4569808392874
Анор Лондо,Целебные травы,2216-02-11,4.580555555555555,30.37617594504599,4.0,3.07,0,0,0,February,Sunday,45.884901330322236
Анор Лондо,Целебные травы,2216-02-12,4.5702127659574465,34.65378293641454,4.0,3.3,0,0,0,February,Monday,44.01767747455209
Анор Лондо,Целебные травы,2216-02-13,4.567441860465116,38.06048513095591,4.0,3.3,0,0,0,February,Tuesday,48.23945208458365
Анор Лондо,Целебные травы,2216-02-14,4.539999999999999,29.31289877839046,3.88,3.3,0,0,0,February,Wednesday,36.34799448520414
Анор Лондо,Целебные травы,2216-02-15,4.536363636363636,32.95891642296326,3.99,3.3,0,0,0,February,Thursday,40.749205759300025
Анор Лондо,Целебные травы,2216-02-16,4.563157894736841,34.20735804865137,3.99,3.3,0,0,0,February,Friday,43.20929437724381
Анор Лондо,Целебные травы,2216-02-17,4.574545454545454,48.273698645763744,4.12,3.3,0,0,1,February,Saturday,61.527023183055235
Анор Лондо,Целебные травы,2216-02-18,4.533333333333333,40.46750188841586,3.99,3.3,0,1,0,February,Sunday,49.9099189957129
Анор Лондо,Целебные травы,2216-02-19,4.573076923076923,44.264366601299415,4.1,3.3,1,0,0,February,Monday,56.351943634731185
Анор Лондо,Целебные травы,2216-02-20,4.553333333333333,36.23890362748099,4.23,3.3,0,0,0,February,Tuesday,45.41942587977614
Анор Лондо,Целебные травы,2216-02-21,4.553333333333333,43.49764264600428,3.99,3.3,0,1,0,February,Wednesday,54.51704544965867
Анор Лондо,Целебные травы,2216-02-22,4.581081081081081,30.63004239790957,4.12,3.3,0,0,0,February,Thursday,39.239567828673344
Анор Лондо,Целебные травы,2216-02-23,4.5249999999999995,28.603845997025896,3.88,3.3,0,0,0,February,Friday,35.039711346356725
Анор Лондо,Целебные травы,2216-02-24,4.569999999999999,54.56136182511949,4.0,3.3,0,1,0,February,Saturday,69.29292951790174
Анор Лондо,Целебные травы,2216-02-25,4.584090909090909,38.72555184646959,3.88,3.3,0,0,0,February,Sunday,49.72712907558028
Анор Лондо,Целебные травы,2216-02-26,4.578787878787878,50.47243414908708,3.89,3.3,0,0,1,February,Monday,64.54353700277196
Анор Лондо,Целебные травы,2216-02-27,4.538235294117647,27.22575087527948,3.97,3.3,0,0,0,February,Tuesday,33.711885642625475
Анор Лондо,Целебные травы,2216-02-28,5.015581395348837,41.55556079182896,3.89,3.3,1,0,0,February,Wednesday,71.29194696774937
Анор Лондо,Целебные травы,2216-02-29,5.031,24.34622924950701,3.9,3.3,0,0,0,February,Thursday,42.143322830896636
Анор Лондо,Целебные травы,2216-03-01,4.933953488372092,30.16842748954317,4.01,3.3,0,0,0,March,Friday,49.29380733523958
Анор Лондо,Целебные травы,2216-03-02,5.014285714285714,48.56269920725814,4.02,3.3,0,1,0,March,Saturday,83.25034149815681
Анор Лондо,Целебные травы,2216-03-03,4.894499999999999,40.66132907564236,3.91,3.3,1,0,0,March,Sunday,64.8344892111117
Анор Лондо,Целебные травы,2216-03-04,5.037042253521126,51.148833900959694,4.02,3.3,1,0,0,March,Monday,88.84768570430083
Анор Лондо,Целебные травы,2216-03-05,5.039210526315789,29.721183588811122,4.02,3.3,0,0,0,March,Tuesday,51.691395352224376
Анор Лондо,Целебные травы,2216-03-06,5.0266666666666655,44.014838376312646,4.0,4.04,0,0,1,March,Wednesday,43.4279738646284
Анор Лондо,Целебные травы,2216-03-07,5.069999999999999,31.097787827937623,4.12,4.04,0,0,0,March,Thursday,32.03072146277573
Анор Лондо,Целебные травы,2216-03-08,4.976399999999999,45.40745067033517,4.0,4.04,0,0,1,March,Friday,42.519536807701826
Анор Лондо,Целебные травы,2216-03-09,5.018,42.775644200016465,4.01,4.04,0,0,1,March,Saturday,41.834580027616084
Анор Лондо,Целебные травы,2216-03-10,4.977631578947368,32.00068523614268,4.11,4.04,0,0,0,March,Sunday,30.004853025362166
Анор Лондо,Целебные травы,2216-03-11,5.003773584905661,42.35660525626178,4.12,4.04,0,0,1,March,Monday,40.82217729226136
Анор Лондо,Целебные травы,2216-03-12,5.006181818181818,47.438715430000435,4.07,4.04,1,0,0,March,Tuesday,45.834424326367696
Анор Лондо,Целебные травы,2216-03-13,4.9998,41.72997130338215,3.92,4.04,0,0,0,March,Wednesday,40.05242645698618
Анор Лондо,Целебные травы,2216-03-14,4.996874999999999,37.295641462650956,3.89,4.04,0,0,0,March,Thursday,35.68726692457412
Анор Лондо,Целебные травы,2216-03-15,5.0024999999999995,43.81646815535589,4.33,4.04,0,0,1,March,Friday,42.17335059953001
Анор Лондо,Целебные травы,2216-03-16,5.019130434782608,48.56740659052528,4.0,4.04,0,1,0,March,Saturday,47.55382593124472
Анор Лондо,Целебные травы,2216-03-17,5.022244897959183,43.89357805736158,4.06,4.04,0,0,1,March,Sunday,43.11424310001658
Анор Лондо,Целебные травы,2216-03-18,4.969137931034482,50.60078431122955,4.07,4.04,0,0,1,March,Monday,47.01510804365793
Анор Лондо,Целебные травы,2216-03-19,5.008421052631578,30.14602196501032,3.66,4.04,0,0,0,March,Tuesday,29.194042324009985
Анор Лондо,Целебные травы,2216-03-20,4.9932786885245894,48.673349661871214,3.89,4.04,1,0,0,March,Wednesday,46.39926693176736
Анор Лондо,Целебные травы,2216-03-21,5.44780487804878,33.956122325232194,4.0,4.04,0,0,0,March,Thursday,47.80359464908295
Анор Лондо,Целебные травы,2216-03-22,5.50576923076923,44.64196766445723,3.89,4.04,1,0,0,March,Friday,65.43482260355631
Анор Лондо,Целебные травы,2216-03-23,5.494090909090908,36.322910566274544,3.82,4.04,0,0,0,March,Saturday,52.8168140461419
Анор Лондо,Целебные травы,2216-03-24,5.4917187499999995,50.34378747952891,3.66,4.04,0,0,1,March,Sunday,73.08502023004732
Анор Лондо,Целебные травы,2216-03-25,5.420892857142857,48.65802781501148,3.89,4.04,0,1,0,March,Monday,67.19152305240783
Анор Лондо,Целебные травы,2216-03-26,5.569999999999999,32.041290687556966,4.34,4.04,0,0,0,March,Tuesday,49.02317475196216
Анор Лондо,Целебные травы,2216-03-27,5.397241379310344,48.09237821676637,4.07,3.88,0,1,0,March,Wednesday,72.96774625992137
Анор Лондо,Целебные травы,2216-03-28,5.545797101449275,52.93335950204038,3.53,3.88,1,0,0,March,Thursday,88.17623682847133
Анор Лондо,Целебные травы,2216-03-29,5.471764705882353,54.561661052285686,3.79,3.88,0,1,0,March,Friday,86.84932635734415
Анор Лондо,Целебные травы,2216-03-30,5.547123287671232,56.42559920304706,4.29,3.88,0,0,1,March,Saturday,94.06843045220305
